modelo,MAE,RMSE,R2,MedAE,SMAPE,Spearman,VarRatio
Const. mediana(train),0.2327559520581374,0.5242556787002799,-0.04243137174946976,0.12,84.1289576545106,,2.9218752051369183e-33
IDW k=24,0.2697791226532736,0.5358044157292724,-0.088864309778935,0.11800843385680662,84.59016557481357,0.2779228683035908,0.2723754566008533
IK,0.29965804568143783,0.5511339851074101,-0.15206125320114605,0.14567172318962854,89.50842858733809,0.2643726383643575,0.35582888262286727
IK + gemelos,0.337288355988643,0.5671102280593576,-0.21982111347140942,0.18695421061030598,95.73557102578134,0.20097541775241592,0.39429706975387063
GNN (fix),0.21987983303937234,0.5240052300562013,-0.04143562416522517,0.08622196435928345,81.07649924248635,0.33692598577245186,0.04075327276067744
GNN + gemelos,0.2241239236288753,0.5220316565324379,-0.03360562896595298,0.09617483019828796,83.37257132297378,0.28830526751929186,0.03517910633111507
Transformer,0.23089547916075112,0.5268682253719256,-0.05284684856119326,0.08936825394630432,79.5282210895089,0.2866020418608704,0.12327235913078131
Transformer + gemelos,0.25031421257226094,0.5261755454422908,-0.050080287795274625,0.10763450264930724,84.32802646001933,0.203610094901059,0.15431031292845462
