modelo,MAE,RMSE,R2,MedAE,SMAPE,Spearman,VarRatio
IK,0.29965804568143783,0.5511339851074101,-0.15206125320114605,0.14567172318962854,89.50842858733809,0.2643726383643575,0.35582888262286727
GNN,0.21987983303937234,0.5240052300562013,-0.04143562416522517,0.08622196435928345,81.07649924248635,0.33692598577245186,0.04075327276067744
Transformer,0.23089547916075112,0.5268682253719256,-0.05284684856119326,0.08936825394630432,79.5282210895089,0.2866020418608704,0.12327235913078131
Transf+gemelos,0.25031421257226094,0.5261755454422908,-0.050080287795274625,0.10763450264930724,84.32802646001933,0.203610094901059,0.15431031292845462
